"key","date","value","id"
"SO2",2022-11-08 11:00:00,2.8,291
"SO2",2022-11-08 10:00:00,2.9,291
"SO2",2022-11-08 09:00:00,2.9,291
"SO2",2022-11-08 08:00:00,3,291
"SO2",2022-11-08 07:00:00,2.7,291
"SO2",2022-11-08 06:00:00,2.5,291
"SO2",2022-11-08 05:00:00,2.2,291
"SO2",2022-11-08 04:00:00,2.1,291
"SO2",2022-11-08 03:00:00,2.2,291
"SO2",2022-11-08 00:00:00,2.2,291
"SO2",2022-11-07 23:00:00,2.1,291
"SO2",2022-11-07 22:00:00,2.3,291
"SO2",2022-11-07 21:00:00,2.2,291
"SO2",2022-11-07 20:00:00,2.2,291
"SO2",2022-11-07 19:00:00,2.4,291
"SO2",2022-11-07 18:00:00,2.4,291
"SO2",2022-11-07 17:00:00,2.4,291
"SO2",2022-11-07 16:00:00,2.3,291
"SO2",2022-11-07 15:00:00,2.4,291
"SO2",2022-11-07 14:00:00,2.4,291
"SO2",2022-11-07 13:00:00,2.4,291
"SO2",2022-11-07 12:00:00,2.6,291
"SO2",2022-11-07 11:00:00,2.9,291
"SO2",2022-11-07 10:00:00,2.4,291
"SO2",2022-11-07 09:00:00,2.3,291
"SO2",2022-11-07 08:00:00,2.1,291
"SO2",2022-11-07 07:00:00,1.9,291
"SO2",2022-11-07 06:00:00,1.7,291
"SO2",2022-11-07 05:00:00,1.4,291
"SO2",2022-11-07 04:00:00,1.5,291
"SO2",2022-11-07 01:00:00,1.7,291
"SO2",2022-11-07 00:00:00,1.9,291
"SO2",2022-11-06 23:00:00,1.8,291
"SO2",2022-11-06 22:00:00,2.1,291
"SO2",2022-11-06 21:00:00,2.6,291
"SO2",2022-11-06 20:00:00,2.7,291
"SO2",2022-11-06 19:00:00,2.8,291
"SO2",2022-11-06 18:00:00,2.6,291
"SO2",2022-11-06 17:00:00,3.1,291
"SO2",2022-11-06 16:00:00,2.7,291
"SO2",2022-11-06 15:00:00,2.4,291
"SO2",2022-11-06 14:00:00,2.2,291
"SO2",2022-11-06 13:00:00,1.9,291
"SO2",2022-11-06 12:00:00,2,291
"SO2",2022-11-06 11:00:00,1.8,291
"SO2",2022-11-06 10:00:00,1.7,291
"SO2",2022-11-06 09:00:00,2.3,291
"SO2",2022-11-06 08:00:00,1.7,291
"SO2",2022-11-06 07:00:00,1.6,291
"SO2",2022-11-06 06:00:00,1.5,291
"SO2",2022-11-06 05:00:00,1.5,291
"SO2",2022-11-06 02:00:00,2,291
"SO2",2022-11-06 01:00:00,2.3,291
"SO2",2022-11-06 00:00:00,2.4,291
"SO2",2022-11-05 23:00:00,2.9,291
"NO2",2022-11-08 11:00:00,6.5,291
"NO2",2022-11-08 10:00:00,6.6,291
"NO2",2022-11-08 09:00:00,6.9,291
"NO2",2022-11-08 08:00:00,6.9,291
"NO2",2022-11-08 07:00:00,7.3,291
"NO2",2022-11-08 06:00:00,8.1,291
"NO2",2022-11-08 05:00:00,8.1,291
"NO2",2022-11-08 04:00:00,7.4,291
"NO2",2022-11-08 03:00:00,6.7,291
"NO2",2022-11-08 02:00:00,6.6,291
"NO2",2022-11-08 01:00:00,6.7,291
"NO2",2022-11-07 22:00:00,8.6,291
"NO2",2022-11-07 21:00:00,9.6,291
"NO2",2022-11-07 20:00:00,10.1,291
"NO2",2022-11-07 19:00:00,10.5,291
"NO2",2022-11-07 18:00:00,9.4,291
"NO2",2022-11-07 17:00:00,9.4,291
"NO2",2022-11-07 16:00:00,9.6,291
"NO2",2022-11-07 15:00:00,9.9,291
"NO2",2022-11-07 14:00:00,10.3,291
"NO2",2022-11-07 13:00:00,8.8,291
"NO2",2022-11-07 12:00:00,7.4,291
"NO2",2022-11-07 11:00:00,6.2,291
"NO2",2022-11-07 10:00:00,6.4,291
"NO2",2022-11-07 09:00:00,7.4,291
"NO2",2022-11-07 08:00:00,8.2,291
"NO2",2022-11-07 07:00:00,11,291
"NO2",2022-11-07 06:00:00,11.3,291
"NO2",2022-11-07 05:00:00,5.5,291
"NO2",2022-11-07 04:00:00,5.5,291
"NO2",2022-11-07 03:00:00,6.7,291
"NO2",2022-11-07 02:00:00,7.9,291
"NO2",2022-11-06 23:00:00,14,291
"NO2",2022-11-06 22:00:00,10.5,291
"NO2",2022-11-06 21:00:00,14.3,291
"NO2",2022-11-06 20:00:00,13.2,291
"NO2",2022-11-06 19:00:00,11.9,291
"NO2",2022-11-06 18:00:00,9.4,291
"NO2",2022-11-06 17:00:00,11.2,291
"NO2",2022-11-06 16:00:00,9.2,291
"NO2",2022-11-06 15:00:00,8.7,291
"NO2",2022-11-06 14:00:00,4.2,291
"NO2",2022-11-06 13:00:00,2.6,291
"NO2",2022-11-06 12:00:00,2.6,291
"NO2",2022-11-06 11:00:00,3.6,291
"NO2",2022-11-06 10:00:00,4.7,291
"NO2",2022-11-06 09:00:00,4.9,291
"NO2",2022-11-06 08:00:00,5.5,291
"NO2",2022-11-06 07:00:00,5.6,291
"NO2",2022-11-06 06:00:00,6,291
"NO2",2022-11-06 05:00:00,7.1,291
"NO2",2022-11-06 04:00:00,8.7,291
"NO2",2022-11-06 03:00:00,9.2,291
"NO2",2022-11-06 00:00:00,6.9,291
"NO2",2022-11-05 23:00:00,6.6,291
"O3",2022-11-08 11:00:00,47.5,291
"O3",2022-11-08 10:00:00,43.9,291
"O3",2022-11-08 09:00:00,36.1,291
"O3",2022-11-08 08:00:00,28.8,291
"O3",2022-11-08 07:00:00,25.2,291
"O3",2022-11-08 06:00:00,23,291
"O3",2022-11-08 05:00:00,23.5,291
"O3",2022-11-08 04:00:00,24.3,291
"O3",2022-11-08 03:00:00,26,291
"O3",2022-11-08 02:00:00,24.5,291
"O3",2022-11-08 01:00:00,25.7,291
"O3",2022-11-07 22:00:00,24.9,291
